dINT,Ichi,Ni,San
-87,130,235,327
-86,,,
-85,130,235,327
-84,,,
-83,,,
-82,,,
-81,,,
-80,130,235,327
-79,,235,327
-78,,235,327
-77,130,235,327
-76,,235,327
-75,,235,327
-74,,235,327
-73,,235,327
-72,,235,327
-71,,235,327
-70,,235,327
-69,,235,327
-68,,235,327
-67,,235,327
-66,130,235,327
-65,,235,327
-64,,235,327
-63,,235,327
-62,,235,327
-61,,235,327
-60,,235,327
-59,,235,327
-58,130,235,327
-57,,235,327
-56,,235,327
-55,130,235,327
-54,130,235,327
-53,,235,327
-52,,235,330
-51,,235,332
-50,130,235,335
-49,130,235,339
-48,130,235,341
-47,130,235,344
-46,130,235,346
-45,130,235,349
-44,130,235,352
-43,130,235,354
-42,,238,357
-41,130,238,359
-40,,240,363
-39,130,240,366
-38,130,243,368
-37,,243,371
-36,,245,373
-35,130,245,376
-34,130,249,378
-33,130,249,381
-32,130,252,385
-31,130,252,387
-30,130,254,390
-29,130,254,392
-28,130,257,395
-27,130,257,398
-26,130,259,400
-25,130,259,403
-24,130,262,407
-23,130,262,409
-22,130,264,412
-21,130,264,414
-20,130,267,417
-19,130,267,419
-18,130,271,422
-17,130,271,424
-16,130,273,427
-15,130,273,431
-14,130,276,433
-13,130,276,436
-12,130,279,439
-11,130,279,441
-10,130,281,444
-9,130,281,446
-8,133,284,449
-7,133,284,453
-6,135,286,455
-5,135,286,458
-4,138,289,460
-3,138,289,463
-2,140,291,465
-1,140,291,468
0,143,295,471
1,145,298,474
2,148,300,480
3,151,303,482
4,153,305,487
5,156,308,490
6,158,311,495
7,161,313,499
8,163,317,504
9,166,320,506
10,168,322,512
11,171,325,514
12,174,327,520
13,176,330,523
14,179,332,528
15,181,335,531
16,184,339,536
17,186,341,538
18,189,344,545
19,192,346,547
20,194,349,552
21,197,352,555
22,199,354,560
23,202,357,563
24,204,359,569
25,207,363,572
26,207,366,577
27,209,368,579
28,209,371,584
29,212,373,588
30,212,376,593
31,215,378,596
32,215,381,601
33,217,385,604
34,217,387,610
35,220,390,613
36,220,392,618
37,222,395,620
38,222,398,625
39,225,400,628
40,225,403,634
41,227,407,637
42,227,409,642
43,230,412,645
44,230,414,650
45,232,417,652
46,232,419,659
47,235,422,661
48,235,424,666
49,238,427,669
50,238,431,674
51,240,433,678
52,240,436,683
53,243,439,686
54,243,441,691
55,245,444,693
56,245,446,698
57,248,449,702
58,248,453,707
59,248,455,710
60,250,458,715
61,253,460,718
62,253,463,724
63,256,465,727
64,256,468,732
65,258,471,734
66,258,474,739
67,261,477,742
68,261,480,748
69,263,482,751
70,263,485,756
71,266,487,759
72,266,490,764
73,268,492,766
74,268,495,773
75,271,499,775
76,271,501,780
77,271,504,783
78,271,506,788
79,271,509,792
80,271,512,797
81,271,514,800
82,271,517,805
83,271,520,807
84,271,523,814
85,271,526,816
86,271,528,821
87,271,531,824
88,271,533,829
89,271,536,832
90,271,538,838
91,271,542,840
92,271,545,846
93,271,547,848
94,271,550,853
95,271,552,856
96,271,555,862
97,271,558,865
98,271,560,870
99,271,563,872
100,271,567,878
101,271,569,881
102,271,572,887
103,271,574,889
104,271,577,894
105,271,579,897
106,271,582,902
107,,584,906
108,,588,911
109,,591,913
110,271,593,919
111,,596,921
112,,599,928
113,,601,930
114,,601,935
115,271,604,938
116,,604,943
117,,606,945
118,,606,952
119,,610,954
120,,610,960
121,,613,962
122,,613,967
123,271,615,970
124,271,615,976
125,271,618,979
126,271,618,984
127,271,620,986
128,,620,992
129,,623,995
130,,623,1000
131,,625,1003
132,,625,1008
133,,628,1011
134,,628,1017
135,,631,1020
136,,631,1025
137,,634,1027
138,,634,1032
139,,637,1035
140,,637,1041
141,,640,1044
142,,640,1049
143,,642,1052
144,,642,1057
